Date,Product,Category,City,State,Sales_INR,Quantity,Customer_ID,Customer_Type,Gender,Age,Payment_Method
04-Jan-2025,Smart TV,Electronics,Hyderabad,Telangana,1274656,8,C0172,Returning,Male,45,UPI
04-Nov-2025,Router,Electronics,Pune,Maharashtra,283716,6,C0305,New,Female,61,Cash
07-Aug-2025,Printer,Electronics,Delhi,Delhi,1128276,4,C0046,New,Male,47,Cash
22-May-2025,Laptop,Electronics,Coimbatore,Tamil Nadu,1375842,6,C0259,Returning,Female,58,Credit Card
16-May-2025,Study Desk,Furniture,Mumbai,Maharashtra,610168,4,C0047,Returning,Female,50,Cash
31-Mar-2025,Air Conditioner,Home Appliances,Chennai,Tamil Nadu,139156,2,C0110,Returning,Male,24,UPI
01-Oct-2025,SSD,Electronics,Ahmedabad,Gujarat,571272,6,C0004,Returning,Female,36,Cash
21-Nov-2025,Mixer Grinder,Home Appliances,Chennai,Tamil Nadu,215700,1,C0196,New,Female,48,EMI
17-Feb-2025,Office Chair,Furniture,Kochi,Kerala,384528,3,C0085,Returning,Male,46,UPI
24-Dec-2025,Mouse,Electronics,Kochi,Kerala,153710,5,C0324,Returning,Female,47,Net Banking
17-Sep-2025,Air Fryer,Home Appliances,Kochi,Kerala,442846,2,C0017,Returning,Male,31,Debit Card
11-Mar-2025,Wardrobe,Furniture,Chennai,Tamil Nadu,1673238,7,C0267,Returning,Female,26,EMI
18-Sep-2025,Office Chair,Furniture,Delhi,Delhi,1727341,7,C0172,New,Female,59,EMI
26-Jul-2025,Bookshelf,Furniture,Chennai,Tamil Nadu,633650,5,C0001,Returning,Male,49,Debit Card
15-Sep-2025,Washing Machine,Home Appliances,Pune,Maharashtra,364078,2,C0103,New,Male,18,UPI
08-Apr-2025,Refrigerator,Home Appliances,Kolkata,West Bengal,300236,2,C0113,New,Male,61,EMI
25-Sep-2025,Mouse,Electronics,Coimbatore,Tamil Nadu,1289424,4,C0203,Returning,Female,45,UPI
09-May-2025,Sofa,Furniture,Kolkata,West Bengal,893578,7,C0203,Returning,Male,36,Credit Card
10-Oct-2025,Bookshelf,Furniture,Mumbai,Maharashtra,158398,2,C0271,Returning,Female,43,UPI
17-Nov-2025,Mobile,Electronics,Delhi,Delhi,2300970,7,C0126,New,Male,57,Debit Card
25-Oct-2025,Washing Machine,Home Appliances,Bengaluru,Karnataka,176178,2,C0287,Returning,Male,42,UPI
05-Oct-2025,Washing Machine,Home Appliances,Kochi,Kerala,573978,3,C0229,New,Female,56,UPI
13-Jun-2025,Bookshelf,Furniture,Coimbatore,Tamil Nadu,2412536,7,C0221,New,Male,65,UPI
14-Mar-2025,Office Chair,Furniture,Ahmedabad,Gujarat,756831,3,C0295,Returning,Male,54,Net Banking
22-Jan-2025,Study Desk,Furniture,Chennai,Tamil Nadu,2606024,8,C0398,Returning,Female,61,UPI
16-May-2025,Air Conditioner,Home Appliances,Hyderabad,Telangana,1267938,6,C0021,New,Female,41,Debit Card
30-Jul-2025,Refrigerator,Home Appliances,Delhi,Delhi,335705,5,C0366,Returning,Female,54,EMI
03-Jun-2025,Microwave,Home Appliances,Ahmedabad,Gujarat,31604,1,C0390,New,Female,36,Cash
16-Feb-2025,Wardrobe,Furniture,Ahmedabad,Gujarat,430192,2,C0129,Returning,Female,27,EMI
04-Jul-2025,Monitor,Electronics,Hyderabad,Telangana,2061934,7,C0111,Returning,Female,24,Net Banking
01-Feb-2025,Washing Machine,Home Appliances,Bengaluru,Karnataka,327406,2,C0051,Returning,Male,29,Net Banking
26-Mar-2025,Printer,Electronics,Ahmedabad,Gujarat,1368114,6,C0221,Returning,Female,65,EMI
26-Feb-2025,Study Desk,Furniture,Kolkata,West Bengal,817344,4,C0224,New,Male,37,EMI
04-Apr-2025,Dining Table,Furniture,Pune,Maharashtra,766955,5,C0153,Returning,Male,64,Cash
14-Jul-2025,Air Fryer,Home Appliances,Kochi,Kerala,829443,3,C0151,Returning,Female,20,EMI
22-Aug-2025,Mixer Grinder,Home Appliances,Pune,Maharashtra,854560,8,C0190,New,Female,45,EMI
15-Jul-2025,Bookshelf,Furniture,Pune,Maharashtra,655109,7,C0281,New,Male,63,Debit Card
08-Dec-2025,Microwave,Home Appliances,Pune,Maharashtra,1138005,5,C0358,Returning,Female,63,Cash
21-Jul-2025,Sofa,Furniture,Mumbai,Maharashtra,1035230,7,C0007,New,Female,19,Debit Card
22-Dec-2025,Tablet,Electronics,Ahmedabad,Gujarat,210942,6,C0273,Returning,Male,18,UPI
23-Dec-2025,Air Conditioner,Home Appliances,Bengaluru,Karnataka,1531584,6,C0125,New,Male,43,Credit Card
07-Aug-2025,Mouse,Electronics,Ahmedabad,Gujarat,1551280,5,C0126,New,Female,35,UPI
05-Aug-2025,Washing Machine,Home Appliances,Kolkata,West Bengal,2454048,8,C0015,Returning,Male,46,Debit Card
07-Oct-2025,Camera,Electronics,Pune,Maharashtra,1713515,5,C0050,New,Male,26,Credit Card
19-May-2025,Mixer Grinder,Home Appliances,Delhi,Delhi,119370,2,C0356,New,Male,28,UPI
30-Jul-2025,Mobile,Electronics,Coimbatore,Tamil Nadu,319511,1,C0184,Returning,Male,53,Net Banking
20-Aug-2025,Sofa,Furniture,Ahmedabad,Gujarat,94809,1,C0084,New,Female,30,Debit Card
24-Jan-2025,Sofa,Furniture,Mumbai,Maharashtra,85168,2,C0195,Returning,Female,22,Debit Card
18-Aug-2025,Microwave,Home Appliances,Coimbatore,Tamil Nadu,1213792,4,C0145,Returning,Female,42,EMI
29-Sep-2025,Mixer Grinder,Home Appliances,Mumbai,Maharashtra,622275,3,C0227,New,Female,38,Net Banking
04-Nov-2025,Bookshelf,Furniture,Kolkata,West Bengal,2306668,7,C0085,Returning,Male,33,Credit Card
12-Jul-2025,Air Fryer,Home Appliances,Mumbai,Maharashtra,1431184,8,C0076,New,Male,38,UPI
14-Nov-2025,Sofa,Furniture,Pune,Maharashtra,263536,4,C0368,New,Male,61,Net Banking
17-Nov-2025,Mixer Grinder,Home Appliances,Coimbatore,Tamil Nadu,763815,3,C0386,New,Female,34,Credit Card
29-Sep-2025,Office Chair,Furniture,Pune,Maharashtra,691544,2,C0381,Returning,Female,42,Debit Card
07-Aug-2025,Monitor,Electronics,Pune,Maharashtra,1435518,6,C0062,Returning,Male,31,Cash
03-Jan-2025,Refrigerator,Home Appliances,Delhi,Delhi,1252830,5,C0053,Returning,Female,46,UPI
05-Jan-2025,Refrigerator,Home Appliances,Kochi,Kerala,1113360,8,C0037,Returning,Female,56,UPI
05-Apr-2025,Mixer Grinder,Home Appliances,Mumbai,Maharashtra,315140,4,C0106,Returning,Female,29,EMI
26-Apr-2025,SSD,Electronics,Hyderabad,Telangana,2384970,7,C0351,Returning,Female,63,UPI
27-Dec-2025,Microwave,Home Appliances,Mumbai,Maharashtra,1654500,5,C0043,New,Male,24,Net Banking
24-Jan-2025,Air Conditioner,Home Appliances,Coimbatore,Tamil Nadu,1525944,8,C0158,Returning,Female,46,Debit Card
03-Jun-2025,Mouse,Electronics,Kochi,Kerala,916503,3,C0108,Returning,Male,36,UPI
04-Aug-2025,Tablet,Electronics,Kolkata,West Bengal,566124,3,C0122,Returning,Male,43,Debit Card
20-Jun-2025,Microwave,Home Appliances,Coimbatore,Tamil Nadu,1323385,7,C0014,New,Female,53,Net Banking
03-Jun-2025,Headphones,Electronics,Pune,Maharashtra,1650887,7,C0178,New,Female,31,UPI
27-Jun-2025,Gaming Laptop,Electronics,Kolkata,West Bengal,494090,5,C0092,New,Male,63,Debit Card
08-Oct-2025,Sofa,Furniture,Kochi,Kerala,1076243,7,C0373,Returning,Male,57,EMI
13-May-2025,Headphones,Electronics,Hyderabad,Telangana,350248,4,C0109,New,Female,35,Credit Card
20-Jun-2025,Microwave,Home Appliances,Hyderabad,Telangana,301630,2,C0361,New,Male,62,Net Banking
27-Jul-2025,Study Desk,Furniture,Hyderabad,Telangana,490218,2,C0268,New,Female,55,Credit Card
30-Jun-2025,Bookshelf,Furniture,Bengaluru,Karnataka,330423,1,C0323,New,Male,23,Net Banking
07-Dec-2025,Monitor,Electronics,Bengaluru,Karnataka,1676912,8,C0330,Returning,Male,37,Net Banking
10-Jul-2025,Bookshelf,Furniture,Mumbai,Maharashtra,329004,4,C0367,New,Female,35,Cash
12-Feb-2025,Refrigerator,Home Appliances,Pune,Maharashtra,1044576,6,C0313,New,Male,56,EMI
05-Feb-2025,Keyboard,Electronics,Kochi,Kerala,1123200,4,C0283,Returning,Male,21,UPI
27-Feb-2025,Refrigerator,Home Appliances,Coimbatore,Tamil Nadu,52831,1,C0099,Returning,Male,27,Debit Card
27-May-2025,Laptop,Electronics,Chennai,Tamil Nadu,2233216,8,C0132,New,Female,37,Cash
02-Feb-2025,Sofa,Furniture,Delhi,Delhi,332580,5,C0061,New,Male,41,EMI
15-Oct-2025,SSD,Electronics,Coimbatore,Tamil Nadu,633748,4,C0298,Returning,Male,63,Cash
13-Nov-2025,Router,Electronics,Chennai,Tamil Nadu,1628244,6,C0229,Returning,Male,60,EMI
28-Jan-2025,Smart Watch,Electronics,Delhi,Delhi,301672,1,C0121,Returning,Female,41,Debit Card
04-May-2025,Mixer Grinder,Home Appliances,Hyderabad,Telangana,1450120,5,C0159,New,Male,37,Cash
10-May-2025,Keyboard,Electronics,Coimbatore,Tamil Nadu,904588,4,C0291,Returning,Female,20,Debit Card
27-Apr-2025,Mixer Grinder,Home Appliances,Ahmedabad,Gujarat,567246,2,C0213,Returning,Female,18,Cash
17-Jul-2025,Wardrobe,Furniture,Chennai,Tamil Nadu,1520390,5,C0379,Returning,Male,60,Debit Card
25-Dec-2025,Bookshelf,Furniture,Delhi,Delhi,135280,5,C0228,Returning,Female,61,Credit Card
25-Jun-2025,Study Desk,Furniture,Coimbatore,Tamil Nadu,1782039,7,C0198,Returning,Male,64,Cash
13-Mar-2025,Mixer Grinder,Home Appliances,Hyderabad,Telangana,396368,8,C0287,New,Male,59,UPI
12-Sep-2025,Air Fryer,Home Appliances,Chennai,Tamil Nadu,741162,3,C0010,Returning,Male,51,Credit Card
04-Apr-2025,Air Fryer,Home Appliances,Bengaluru,Karnataka,743934,6,C0338,Returning,Female,57,EMI
23-Jan-2025,SSD,Electronics,Kolkata,West Bengal,1122095,5,C0048,Returning,Female,22,Credit Card
12-May-2025,Mouse,Electronics,Coimbatore,Tamil Nadu,89361,1,C0091,New,Male,20,Debit Card
13-Nov-2025,Wardrobe,Furniture,Pune,Maharashtra,971025,3,C0377,Returning,Male,51,UPI
24-Sep-2025,Keyboard,Electronics,Hyderabad,Telangana,338028,4,C0224,New,Female,33,Credit Card
30-May-2025,Dining Table,Furniture,Pune,Maharashtra,47298,2,C0011,Returning,Male,35,Net Banking
20-May-2025,Air Fryer,Home Appliances,Coimbatore,Tamil Nadu,418672,4,C0310,Returning,Male,62,UPI
14-Aug-2025,Mobile,Electronics,Kolkata,West Bengal,146266,2,C0387,Returning,Female,61,UPI
05-Jul-2025,Study Desk,Furniture,Chennai,Tamil Nadu,739792,4,C0162,New,Female,32,Credit Card
01-Feb-2025,Bookshelf,Furniture,Mumbai,Maharashtra,1086664,4,C0335,New,Male,32,Net Banking
19-Feb-2025,Smart Watch,Electronics,Bengaluru,Karnataka,66655,1,C0229,Returning,Male,62,Credit Card
04-Oct-2025,Microwave,Home Appliances,Mumbai,Maharashtra,2235088,8,C0125,Returning,Male,24,Net Banking
19-Sep-2025,Microwave,Home Appliances,Chennai,Tamil Nadu,898744,7,C0032,New,Male,49,Net Banking
19-Nov-2025,Air Conditioner,Home Appliances,Mumbai,Maharashtra,319759,1,C0113,Returning,Female,31,Net Banking
07-Jan-2025,Air Fryer,Home Appliances,Hyderabad,Telangana,109046,1,C0243,Returning,Female,40,Net Banking
13-Aug-2025,Tablet,Electronics,Kolkata,West Bengal,129512,4,C0378,New,Female,38,UPI
25-Jun-2025,Study Desk,Furniture,Bengaluru,Karnataka,97154,2,C0148,Returning,Male,37,EMI
23-Nov-2025,Laptop,Electronics,Chennai,Tamil Nadu,1239905,5,C0195,New,Male,37,Credit Card
09-Aug-2025,Air Fryer,Home Appliances,Bengaluru,Karnataka,254193,1,C0118,Returning,Male,27,UPI
24-Nov-2025,Laptop,Electronics,Ahmedabad,Gujarat,1737904,7,C0385,Returning,Male,37,Debit Card
21-Feb-2025,Air Conditioner,Home Appliances,Chennai,Tamil Nadu,1814904,7,C0273,Returning,Male,60,UPI
14-Feb-2025,Tablet,Electronics,Coimbatore,Tamil Nadu,1564355,5,C0198,New,Male,18,UPI
03-Nov-2025,Washing Machine,Home Appliances,Chennai,Tamil Nadu,295642,1,C0017,New,Male,56,Net Banking
15-Jul-2025,Air Fryer,Home Appliances,Mumbai,Maharashtra,902529,3,C0278,New,Female,58,Credit Card
30-Sep-2025,Bookshelf,Furniture,Bengaluru,Karnataka,1080912,7,C0129,New,Female,18,Credit Card
03-Dec-2025,Smart Watch,Electronics,Chennai,Tamil Nadu,1351784,4,C0339,Returning,Male,44,Credit Card
30-Apr-2025,Air Conditioner,Home Appliances,Bengaluru,Karnataka,45495,3,C0315,New,Male,38,EMI
18-May-2025,Mouse,Electronics,Chennai,Tamil Nadu,1235768,4,C0141,New,Female,21,EMI
23-Aug-2025,Sofa,Furniture,Kochi,Kerala,65856,3,C0285,New,Female,28,Debit Card
27-Aug-2025,Laptop,Electronics,Bengaluru,Karnataka,665920,8,C0355,New,Female,27,Credit Card
18-Mar-2025,Keyboard,Electronics,Bengaluru,Karnataka,1754624,8,C0137,Returning,Male,61,Credit Card
12-Feb-2025,Keyboard,Electronics,Kolkata,West Bengal,1629663,7,C0268,New,Male,60,Credit Card
03-Jan-2025,Mobile,Electronics,Bengaluru,Karnataka,326131,1,C0297,Returning,Male,33,EMI
26-Sep-2025,Sofa,Furniture,Delhi,Delhi,1183320,8,C0389,New,Female,63,Credit Card
29-Apr-2025,Smart Watch,Electronics,Bengaluru,Karnataka,358542,6,C0197,New,Male,31,EMI
04-Aug-2025,Dining Table,Furniture,Kolkata,West Bengal,1309850,5,C0233,New,Male,42,EMI
29-Jun-2025,Air Conditioner,Home Appliances,Bengaluru,Karnataka,2062080,8,C0197,New,Female,51,UPI
